Name,Age,Major,GPA,Year,Club,Position
Patricia Moore,23,Computer Science,3.23,Freshman,ASCE Member,Research Assistant
Michael Jackson,25,Mathematics,2.59,Junior,Soccer Club,Part-time at AutoWorks
Christopher Jackson,23,Mechanical Engineering,2.53,Junior,Math Club,Part-time at AutoWorks
James Thomas,24,Computer Science,2.63,Freshman,ChemClub,Part-time at BuildCorp
David Davis,25,Civil Engineering,3.8,Sophomore,ASCE Member,Member of BioSociety
David Thomas,18,Environmental Science,2.23,Junior,BioSociety,Intern at TechCorp
David Harris,19,Mechanical Engineering,3.47,Junior,ChemClub,Part-time at BuildCorp
David Moore,18,Civil Engineering,2.99,Senior,ASCE Member,Part-time at MarketPlace
Christopher Johnson,19,Business Administration,2.6,Freshman,Math Club,Business Club President
Thomas Clark,19,Electrical Engineering,2.44,Sophomore,Coding Club,Part-time at BuildCorp
Mary Clark,18,Business Administration,3.02,Junior,IEEE Member,Research Assistant
John Davis,23,Biology,3.66,Senior,Business Club,Intern at StartUp
Linda Wilson,20,Mechanical Engineering,2.47,Junior,Robotics Team,Tutor at MathCenter
Robert Davis,19,Physics,3.15,Junior,IEEE Member,Intern at StartUp
Michael Jackson,21,Mathematics,3.56,Junior,BioSociety,Tutor at MathCenter
John Anderson,18,Economics,2.92,Sophomore,Soccer Club,Part-time at AutoWorks
Emily Moore,18,Computer Science,3.18,Junior,Debate Team,Tutor at MathCenter
John Wilson,21,Electrical Engineering,2.34,Junior,IEEE Member,Intern at TechCorp
Robert Jackson,21,Computer Science,2.89,Freshman,Coding Club,Tutor at MathCenter
Michael Moore,18,Physics,2.29,Freshman,Coding Club,Part-time at ElectricWorks
David Doe,19,Environmental Science,2.58,Sophomore,BioSociety,Member of BioSociety
Christopher Taylor,23,Biology,3.62,Freshman,IEEE Member,Part-time at ElectricWorks
Sarah Taylor,25,Physics,2.45,Freshman,Debate Team,Research Assistant
Sarah Brown,18,Mechanical Engineering,2.8,Sophomore,ChemClub,Intern at StartUp
Jane Anderson,23,Mechanical Engineering,3.74,Freshman,Debate Team,Tutor at MathCenter
Jane Davis,25,Computer Science,2.51,Senior,IEEE Member,Member of ChemClub
Jane Taylor,19,Electrical Engineering,3.13,Freshman,ASCE Member,Intern at ResearchLab
Emily Taylor,21,Business Administration,2.31,Freshman,Soccer Club,Member of ChemClub
Emily Martin,19,Chemistry,2.71,Sophomore,Coding Club,Part-time at BuildCorp
Emily Davis,25,Economics,3.18,Junior,IEEE Member,Part-time at AutoWorks
Sarah Anderson,22,Environmental Science,3.61,Sophomore,Debate Team,Tutor at MathCenter
David Wilson,21,Electrical Engineering,2.69,Freshman,Math Club,Part-time at AutoWorks
Robert Harris,19,Mechanical Engineering,3.58,Freshman,ChemClub,Part-time at ElectricWorks
Mary Jackson,21,Business Administration,2.03,Senior,ChemClub,Intern at TechCorp
Michael Clark,23,Chemistry,2.48,Freshman,Green Club,Member of BioSociety
Jessica Brown,20,Environmental Science,2.81,Freshman,Coding Club,Part-time at ElectricWorks
Emily Jackson,19,Environmental Science,3.0,Freshman,Business Club,Research Assistant
Sarah Brown,23,Economics,2.01,Freshman,BioSociety,Part-time at MarketPlace
Thomas Clark,23,Mathematics,2.08,Freshman,IEEE Member,Business Club President
Sarah Moore,24,Business Administration,2.38,Junior,Math Club,Member of BioSociety
David Taylor,21,Biology,3.9,Junior,Green Club,Business Club President
Christopher Doe,25,Civil Engineering,2.51,Senior,Soccer Club,Part-time at ElectricWorks
Jane Brown,20,Computer Science,3.87,Freshman,Math Club,Part-time at BuildCorp
Barbara Brown,20,Biology,2.92,Sophomore,Math Club,Tutor at MathCenter
Mary White,19,Chemistry,2.97,Junior,Research Assistant,Part-time at AutoWorks
Barbara Taylor,18,Physics,3.67,Freshman,Robotics Team,Part-time at BuildCorp
David Jackson,25,Civil Engineering,3.33,Senior,Debate Team,Part-time at ElectricWorks
Linda Clark,25,Mechanical Engineering,2.2,Junior,Debate Team,Part-time at AutoWorks
Robert Taylor,25,Environmental Science,3.18,Junior,ASCE Member,Research Assistant
Christopher Martin,18,Business Administration,3.03,Senior,Robotics Team,Intern at ResearchLab
James Thomas,25,Computer Science,3.97,Sophomore,Green Club,Tutor at MathCenter
Patricia Moore,25,Mathematics,3.86,Sophomore,Coding Club,Part-time at ElectricWorks
Emily Anderson,25,Civil Engineering,2.79,Sophomore,Research Assistant,Part-time at ElectricWorks
Sarah Moore,19,Business Administration,2.77,Freshman,ASCE Member,Research Assistant
Barbara Clark,22,Chemistry,2.9,Sophomore,IEEE Member,Member of ChemClub
Jessica Anderson,25,Biology,2.61,Junior,Green Club,Intern at StartUp
Barbara Davis,18,Electrical Engineering,2.3,Junior,Green Club,Business Club President
Christopher Davis,22,Biology,2.63,Senior,Soccer Club,Intern at ResearchLab
Emily Brown,21,Civil Engineering,3.47,Senior,BioSociety,Tutor at MathCenter
Christopher Anderson,18,Electrical Engineering,2.77,Junior,Research Assistant,Intern at ResearchLab
Michael Thomas,22,Computer Science,3.31,Freshman,BioSociety,Intern at TechCorp
Michael Moore,22,Electrical Engineering,3.38,Freshman,Soccer Club,Part-time at MarketPlace
David Wilson,19,Civil Engineering,3.31,Senior,Soccer Club,Part-time at AutoWorks
John Brown,22,Electrical Engineering,2.14,Sophomore,Business Club,Intern at StartUp
Jane Harris,21,Civil Engineering,3.66,Senior,Coding Club,Intern at StartUp
Jessica Brown,19,Chemistry,2.34,Senior,IEEE Member,Member of ChemClub
Robert Taylor,24,Environmental Science,2.66,Freshman,IEEE Member,Intern at StartUp
Robert Martin,24,Biology,2.47,Freshman,Green Club,Intern at StartUp
Thomas Jackson,25,Physics,3.12,Junior,Business Club,Part-time at MarketPlace
Thomas Johnson,19,Economics,3.31,Junior,IEEE Member,Business Club President
John Moore,22,Civil Engineering,2.31,Freshman,ASCE Member,Part-time at AutoWorks
Robert Moore,23,Business Administration,3.02,Sophomore,Debate Team,Intern at ResearchLab
John Moore,21,Computer Science,3.72,Sophomore,Robotics Team,Research Assistant
Sarah Martin,23,Computer Science,3.44,Freshman,ChemClub,Business Club President
John Doe,21,Mechanical Engineering,2.46,Senior,Math Club,Business Club President
Christopher Wilson,20,Mathematics,3.13,Freshman,ASCE Member,Business Club President
Patricia Martin,25,Environmental Science,3.74,Junior,Coding Club,Part-time at BuildCorp
Patricia Thomas,19,Computer Science,2.2,Senior,Green Club,Research Assistant
James White,23,Mathematics,2.39,Junior,Green Club,Part-time at BuildCorp
Linda Wilson,20,Economics,3.99,Senior,IEEE Member,Intern at StartUp
Robert White,19,Environmental Science,3.71,Sophomore,Research Assistant,Member of BioSociety
Emily Thomas,25,Chemistry,3.38,Freshman,ASCE Member,Member of ChemClub
Michael Moore,22,Civil Engineering,2.48,Senior,Business Club,Part-time at MarketPlace
John Anderson,18,Electrical Engineering,3.64,Senior,BioSociety,Intern at StartUp
John Johnson,18,Economics,2.0,Junior,BioSociety,Intern at ResearchLab
John Thomas,22,Economics,2.51,Freshman,Business Club,Business Club President
David Clark,21,Environmental Science,2.05,Junior,Robotics Team,Intern at StartUp
Barbara Clark,20,Chemistry,2.36,Senior,Robotics Team,Business Club President
Jessica Wilson,25,Economics,3.06,Senior,Math Club,Part-time at ElectricWorks
Jane Anderson,21,Civil Engineering,2.87,Junior,Green Club,Part-time at MarketPlace
James Jackson,19,Physics,2.4,Senior,ASCE Member,Part-time at ElectricWorks
Linda Johnson,21,Business Administration,2.78,Senior,Soccer Club,Intern at TechCorp
Barbara Moore,23,Business Administration,3.89,Senior,Soccer Club,Part-time at MarketPlace
Michael Anderson,20,Civil Engineering,2.45,Freshman,Math Club,Intern at StartUp
Emily Wilson,18,Civil Engineering,2.36,Junior,Debate Team,Part-time at AutoWorks
Robert Moore,22,Civil Engineering,2.01,Senior,IEEE Member,Part-time at ElectricWorks
John Brown,20,Economics,2.24,Senior,ChemClub,Research Assistant
David White,18,Business Administration,2.95,Junior,ChemClub,Tutor at MathCenter
Christopher Davis,24,Biology,2.05,Freshman,Business Club,Member of BioSociety
David Martin,24,Biology,2.37,Freshman,Green Club,Part-time at BuildCorp
Michael White,24,Business Administration,3.12,Freshman,Debate Team,Member of ChemClub
Jane Harris,22,Biology,2.99,Sophomore,Research Assistant,Intern at ResearchLab
Barbara Johnson,23,Business Administration,3.85,Freshman,Robotics Team,Part-time at BuildCorp
David Clark,25,Economics,3.63,Senior,Robotics Team,Part-time at AutoWorks
Sarah Jackson,22,Civil Engineering,3.85,Senior,ChemClub,Part-time at AutoWorks
Linda Clark,20,Physics,3.48,Junior,Debate Team,Part-time at ElectricWorks
James Moore,25,Computer Science,3.67,Senior,Green Club,Tutor at MathCenter
Patricia White,19,Chemistry,3.51,Sophomore,ASCE Member,Business Club President
Linda White,20,Physics,3.07,Sophomore,Business Club,Member of ChemClub
David Wilson,24,Physics,3.11,Sophomore,Robotics Team,Tutor at MathCenter
Jessica Thomas,18,Mechanical Engineering,2.98,Sophomore,ASCE Member,Member of BioSociety
Mary Jackson,25,Mathematics,3.97,Freshman,Math Club,Research Assistant
Patricia Jackson,21,Mathematics,2.33,Sophomore,ChemClub,Intern at TechCorp
Christopher Wilson,25,Mechanical Engineering,3.22,Junior,Debate Team,Research Assistant
Thomas Harris,18,Economics,3.49,Freshman,Coding Club,Research Assistant
Christopher Brown,24,Business Administration,2.34,Freshman,IEEE Member,Intern at StartUp
Patricia Harris,23,Mechanical Engineering,2.38,Senior,IEEE Member,Part-time at BuildCorp
David Taylor,19,Economics,2.41,Senior,Coding Club,Intern at ResearchLab
Emily Taylor,23,Mechanical Engineering,2.29,Junior,Soccer Club,Intern at TechCorp
Jane Davis,23,Mechanical Engineering,3.74,Sophomore,Coding Club,Tutor at MathCenter
Christopher Wilson,25,Business Administration,2.21,Sophomore,BioSociety,Part-time at AutoWorks
Jessica Martin,21,Computer Science,3.06,Junior,Research Assistant,Tutor at MathCenter
Barbara Taylor,18,Biology,2.47,Sophomore,BioSociety,Part-time at AutoWorks
Sarah Smith,21,Physics,3.12,Freshman,ASCE Member,Part-time at BuildCorp
Christopher Harris,24,Computer Science,2.05,Senior,Green Club,Part-time at BuildCorp
Robert White,24,Civil Engineering,3.3,Senior,ChemClub,Intern at StartUp
Christopher Moore,20,Civil Engineering,2.01,Sophomore,Business Club,Member of BioSociety
Robert Wilson,21,Mathematics,2.22,Sophomore,IEEE Member,Business Club President
Christopher Davis,22,Electrical Engineering,2.91,Freshman,IEEE Member,Tutor at MathCenter
David White,24,Biology,2.39,Sophomore,Debate Team,Part-time at BuildCorp
Thomas Anderson,22,Mathematics,3.46,Junior,Debate Team,Part-time at MarketPlace
Christopher Smith,22,Chemistry,3.88,Freshman,BioSociety,Tutor at MathCenter
Christopher Davis,19,Mathematics,2.96,Junior,Debate Team,Tutor at MathCenter
Christopher White,18,Biology,3.5,Freshman,ASCE Member,Part-time at ElectricWorks
Thomas Davis,22,Civil Engineering,2.52,Sophomore,Soccer Club,Business Club President
Barbara Davis,22,Business Administration,3.17,Freshman,Green Club,Part-time at ElectricWorks
Patricia Taylor,24,Biology,2.51,Freshman,Green Club,Research Assistant
Barbara Clark,19,Business Administration,3.8,Senior,Robotics Team,Part-time at BuildCorp
Christopher Thomas,22,Business Administration,3.38,Sophomore,Robotics Team,Part-time at AutoWorks
Jessica Anderson,24,Physics,3.54,Freshman,Robotics Team,Intern at TechCorp
Barbara Clark,19,Business Administration,3.79,Junior,ASCE Member,Intern at TechCorp
Christopher Harris,20,Environmental Science,2.72,Senior,Math Club,Part-time at ElectricWorks
John White,22,Business Administration,3.48,Freshman,Math Club,Part-time at AutoWorks
James Jackson,24,Economics,3.44,Junior,Research Assistant,Part-time at ElectricWorks
Jane Martin,23,Biology,3.92,Freshman,Soccer Club,Member of BioSociety
David Martin,22,Computer Science,2.71,Senior,Business Club,Part-time at MarketPlace
Jessica Clark,23,Biology,2.57,Senior,ASCE Member,Part-time at MarketPlace
Barbara Thomas,21,Biology,3.37,Junior,BioSociety,Part-time at BuildCorp
David Johnson,19,Chemistry,2.21,Sophomore,Debate Team,Intern at StartUp
Jessica Harris,20,Mechanical Engineering,2.53,Sophomore,Debate Team,Part-time at BuildCorp
Linda Johnson,20,Mathematics,2.33,Sophomore,Research Assistant,Research Assistant
Sarah Smith,24,Mechanical Engineering,3.9,Senior,Business Club,Member of ChemClub
John Jackson,22,Business Administration,2.88,Junior,ASCE Member,Member of BioSociety
Robert Taylor,19,Environmental Science,2.59,Junior,Research Assistant,Tutor at MathCenter
Thomas Anderson,25,Economics,2.98,Freshman,Robotics Team,Intern at TechCorp
Thomas Harris,22,Computer Science,2.48,Junior,Coding Club,Member of BioSociety
Barbara Wilson,24,Chemistry,3.17,Sophomore,Business Club,Part-time at BuildCorp
John Smith,20,Environmental Science,3.55,Sophomore,IEEE Member,Research Assistant
Barbara Moore,21,Mathematics,2.61,Sophomore,Coding Club,Part-time at MarketPlace
David Anderson,19,Chemistry,3.86,Junior,Business Club,Business Club President
Mary Anderson,24,Mathematics,2.48,Senior,BioSociety,Part-time at AutoWorks
Jane White,22,Business Administration,3.85,Junior,Green Club,Intern at ResearchLab
John Harris,24,Physics,2.54,Junior,IEEE Member,Intern at StartUp
Linda Anderson,20,Civil Engineering,3.74,Sophomore,Research Assistant,Member of BioSociety
James Harris,19,Chemistry,3.05,Sophomore,ChemClub,Part-time at AutoWorks
Michael White,23,Mechanical Engineering,3.03,Freshman,Math Club,Intern at ResearchLab
Sarah Clark,24,Civil Engineering,3.86,Freshman,Coding Club,Part-time at AutoWorks
Michael Smith,22,Mathematics,3.39,Senior,Research Assistant,Part-time at BuildCorp
Michael Wilson,22,Economics,2.95,Junior,Math Club,Part-time at ElectricWorks
Linda Wilson,19,Computer Science,3.13,Sophomore,Soccer Club,Part-time at ElectricWorks
Emily Jackson,22,Economics,2.33,Sophomore,IEEE Member,Member of ChemClub
Thomas Jackson,20,Civil Engineering,2.09,Senior,ASCE Member,Part-time at ElectricWorks
Robert Clark,18,Civil Engineering,3.71,Freshman,BioSociety,Part-time at MarketPlace
Barbara Taylor,21,Business Administration,3.46,Junior,ASCE Member,Part-time at BuildCorp
Michael Harris,24,Civil Engineering,2.11,Senior,Business Club,Business Club President
Emily Anderson,21,Environmental Science,3.82,Sophomore,ChemClub,Member of BioSociety
Patricia Brown,24,Biology,2.0,Freshman,ChemClub,Part-time at ElectricWorks
Christopher Wilson,18,Computer Science,3.9,Senior,Debate Team,Tutor at MathCenter
Thomas Martin,22,Physics,2.48,Junior,Robotics Team,Part-time at MarketPlace
Linda Wilson,21,Mathematics,3.43,Freshman,Debate Team,Member of BioSociety
Mary Thomas,22,Mathematics,3.26,Sophomore,Green Club,Part-time at AutoWorks
Linda Anderson,25,Computer Science,2.03,Freshman,Math Club,Member of BioSociety
Sarah Moore,20,Physics,3.92,Freshman,ASCE Member,Tutor at MathCenter
David Anderson,24,Chemistry,2.01,Senior,Business Club,Tutor at MathCenter
Thomas Moore,23,Mathematics,2.2,Senior,BioSociety,Tutor at MathCenter
Christopher Doe,20,Environmental Science,2.47,Junior,Research Assistant,Intern at TechCorp
John Harris,20,Physics,2.49,Freshman,ASCE Member,Part-time at AutoWorks
John Martin,22,Mechanical Engineering,3.52,Senior,Green Club,Intern at StartUp
Emily Martin,21,Economics,3.26,Freshman,Debate Team,Part-time at MarketPlace
Sarah Doe,22,Physics,3.1,Junior,ASCE Member,Intern at ResearchLab
Sarah Johnson,23,Physics,2.49,Freshman,Green Club,Intern at TechCorp
John Jackson,19,Mathematics,3.86,Freshman,Coding Club,Member of ChemClub
Jessica Davis,18,Chemistry,3.3,Junior,BioSociety,Intern at StartUp
Thomas Clark,18,Biology,3.96,Junior,ChemClub,Part-time at AutoWorks
David Clark,22,Chemistry,3.87,Junior,Debate Team,Part-time at BuildCorp
David Johnson,19,Economics,2.45,Sophomore,Green Club,Intern at ResearchLab
John Davis,20,Business Administration,2.05,Senior,ChemClub,Intern at ResearchLab
Mary Brown,22,Physics,3.95,Senior,ASCE Member,Part-time at ElectricWorks
Mary Anderson,19,Mechanical Engineering,3.13,Senior,Math Club,Part-time at BuildCorp
Jessica Taylor,20,Business Administration,2.03,Junior,Business Club,Tutor at MathCenter
Jane Moore,22,Mechanical Engineering,3.38,Senior,IEEE Member,Business Club President
Jane Doe,18,Biology,3.0,Junior,Math Club,Member of ChemClub
Barbara Anderson,18,Business Administration,3.94,Sophomore,ChemClub,Part-time at BuildCorp
James Davis,23,Civil Engineering,3.96,Freshman,ChemClub,Member of BioSociety
Robert White,22,Electrical Engineering,2.44,Freshman,IEEE Member,Part-time at BuildCorp
John Brown,25,Civil Engineering,2.81,Freshman,IEEE Member,Member of BioSociety
Jessica Wilson,20,Civil Engineering,3.72,Senior,Coding Club,Part-time at MarketPlace
Patricia Wilson,19,Electrical Engineering,3.71,Freshman,Debate Team,Intern at ResearchLab
James White,19,Electrical Engineering,2.08,Sophomore,ASCE Member,Business Club President
Michael Taylor,18,Biology,2.22,Freshman,Green Club,Part-time at AutoWorks
Thomas Jackson,19,Chemistry,2.26,Senior,IEEE Member,Business Club President
Mary Doe,24,Environmental Science,3.14,Freshman,Debate Team,Part-time at ElectricWorks
Sarah Doe,18,Electrical Engineering,3.37,Freshman,Coding Club,Intern at StartUp
David Smith,23,Business Administration,2.25,Sophomore,ASCE Member,Intern at StartUp
Patricia Taylor,20,Mechanical Engineering,2.58,Junior,Debate Team,Part-time at ElectricWorks
Jessica Davis,24,Environmental Science,2.47,Sophomore,IEEE Member,Part-time at ElectricWorks
Robert Doe,19,Civil Engineering,3.02,Sophomore,Robotics Team,Part-time at BuildCorp
David White,23,Electrical Engineering,3.15,Sophomore,Business Club,Intern at TechCorp
James Thomas,19,Physics,3.98,Junior,Math Club,Member of ChemClub
John White,20,Biology,3.46,Junior,Robotics Team,Part-time at BuildCorp
John Smith,20,Mathematics,3.59,Sophomore,Robotics Team,Intern at TechCorp
Michael Jackson,19,Chemistry,2.82,Junior,ASCE Member,Business Club President
Thomas Harris,21,Computer Science,2.56,Senior,Business Club,Part-time at AutoWorks
Mary Thomas,19,Biology,2.73,Junior,Business Club,Part-time at BuildCorp
Jessica Anderson,19,Physics,2.22,Sophomore,Robotics Team,Research Assistant
Sarah Smith,22,Economics,2.91,Junior,IEEE Member,Research Assistant
Christopher Johnson,24,Chemistry,3.5,Junior,Coding Club,Part-time at AutoWorks
Jessica Johnson,25,Chemistry,2.8,Freshman,Green Club,Intern at ResearchLab
Thomas Davis,25,Mechanical Engineering,2.37,Senior,ASCE Member,Research Assistant
Mary Johnson,24,Environmental Science,3.41,Freshman,Debate Team,Part-time at BuildCorp
James Harris,23,Civil Engineering,3.06,Freshman,Coding Club,Part-time at ElectricWorks
David Taylor,19,Civil Engineering,3.47,Senior,ASCE Member,Part-time at BuildCorp
Sarah Harris,22,Biology,2.56,Senior,Soccer Club,Intern at ResearchLab
James Martin,25,Economics,2.52,Freshman,Robotics Team,Tutor at MathCenter
Thomas Martin,24,Economics,4.0,Freshman,ASCE Member,Part-time at MarketPlace
David Harris,25,Civil Engineering,2.11,Freshman,IEEE Member,Part-time at MarketPlace
Robert Moore,21,Environmental Science,3.01,Sophomore,Coding Club,Part-time at BuildCorp
Thomas Taylor,18,Mechanical Engineering,3.98,Sophomore,Coding Club,Intern at StartUp
Emily Thomas,19,Chemistry,3.0,Senior,Business Club,Member of ChemClub
Jessica Harris,22,Mathematics,2.05,Junior,Research Assistant,Business Club President
John Clark,22,Biology,2.63,Senior,Soccer Club,Member of BioSociety
Patricia Martin,19,Electrical Engineering,3.12,Senior,Robotics Team,Part-time at MarketPlace
Emily Moore,18,Environmental Science,3.01,Junior,Coding Club,Part-time at AutoWorks
Robert Doe,21,Chemistry,2.36,Senior,Coding Club,Intern at StartUp
Jane Doe,18,Computer Science,3.07,Senior,Debate Team,Member of BioSociety
Emily Moore,22,Civil Engineering,2.07,Junior,ChemClub,Business Club President
Christopher Taylor,19,Biology,3.16,Sophomore,ASCE Member,Tutor at MathCenter
Jane Brown,23,Economics,3.9,Senior,Debate Team,Research Assistant
Thomas Johnson,23,Chemistry,2.92,Freshman,ChemClub,Member of ChemClub
Thomas Harris,25,Chemistry,3.22,Senior,IEEE Member,Part-time at ElectricWorks
David Brown,18,Economics,3.68,Sophomore,Soccer Club,Intern at StartUp
Jessica Moore,24,Mechanical Engineering,3.01,Senior,Business Club,Intern at StartUp
Thomas Taylor,21,Mathematics,3.34,Junior,BioSociety,Intern at ResearchLab
Patricia Thomas,23,Electrical Engineering,3.95,Sophomore,BioSociety,Part-time at BuildCorp
Thomas Clark,25,Electrical Engineering,2.16,Freshman,Debate Team,Member of BioSociety
Linda Martin,22,Electrical Engineering,3.66,Senior,Math Club,Part-time at ElectricWorks
Jessica Taylor,24,Mathematics,3.29,Junior,Robotics Team,Research Assistant
David Smith,24,Computer Science,3.58,Junior,ASCE Member,Part-time at BuildCorp
Jessica Martin,25,Physics,2.22,Freshman,Soccer Club,Business Club President
James Johnson,23,Physics,3.22,Sophomore,Robotics Team,Intern at ResearchLab
John Thomas,18,Civil Engineering,2.16,Freshman,Green Club,Part-time at BuildCorp
Sarah Taylor,20,Environmental Science,2.37,Junior,Robotics Team,Business Club President
Thomas White,22,Mathematics,3.39,Sophomore,Debate Team,Tutor at MathCenter
Thomas Clark,19,Biology,3.46,Sophomore,Debate Team,Intern at TechCorp
Thomas White,20,Physics,3.14,Senior,Green Club,Member of BioSociety
Linda Wilson,22,Mathematics,2.18,Junior,Soccer Club,Part-time at MarketPlace
Sarah Wilson,21,Biology,3.74,Senior,Debate Team,Member of ChemClub
Thomas Anderson,22,Biology,3.63,Sophomore,Business Club,Business Club President
Robert Davis,24,Mechanical Engineering,3.09,Freshman,Business Club,Tutor at MathCenter
Jane Doe,21,Computer Science,2.26,Sophomore,ChemClub,Tutor at MathCenter
John Anderson,23,Business Administration,2.53,Sophomore,Coding Club,Part-time at BuildCorp
Thomas White,18,Computer Science,3.23,Sophomore,Coding Club,Tutor at MathCenter
Mary Davis,21,Physics,2.66,Sophomore,Math Club,Member of ChemClub
David Doe,21,Business Administration,3.71,Junior,Debate Team,Intern at ResearchLab
John Harris,22,Mathematics,2.69,Sophomore,IEEE Member,Tutor at MathCenter
John Wilson,18,Biology,2.97,Freshman,Green Club,Intern at StartUp
Michael Moore,24,Environmental Science,2.51,Senior,Green Club,Intern at StartUp
Thomas Martin,20,Business Administration,2.07,Freshman,Soccer Club,Research Assistant
Christopher Brown,25,Computer Science,2.53,Junior,Math Club,Business Club President
Linda Thomas,25,Business Administration,2.31,Freshman,Math Club,Part-time at AutoWorks
Emily Harris,23,Physics,2.33,Senior,Math Club,Tutor at MathCenter
Jane Martin,22,Chemistry,2.63,Senior,Robotics Team,Part-time at ElectricWorks
Michael Wilson,19,Civil Engineering,2.79,Freshman,ASCE Member,Tutor at MathCenter
Michael Thomas,24,Civil Engineering,3.78,Senior,Debate Team,Intern at TechCorp
Linda Thomas,22,Civil Engineering,3.09,Freshman,Coding Club,Part-time at ElectricWorks
John Brown,20,Business Administration,3.19,Senior,Debate Team,Part-time at MarketPlace
Mary Wilson,21,Computer Science,3.1,Freshman,Soccer Club,Part-time at BuildCorp
Thomas Brown,23,Electrical Engineering,2.34,Freshman,Business Club,Part-time at BuildCorp
Jessica Clark,20,Computer Science,2.95,Freshman,Robotics Team,Part-time at ElectricWorks
Jessica Anderson,23,Civil Engineering,3.27,Junior,Debate Team,Part-time at MarketPlace
Thomas Johnson,18,Environmental Science,3.16,Freshman,Math Club,Intern at ResearchLab
Michael Thomas,22,Chemistry,2.11,Freshman,Robotics Team,Member of BioSociety
Patricia Brown,23,Business Administration,3.07,Freshman,ChemClub,Business Club President
Jane Thomas,23,Business Administration,2.36,Senior,Debate Team,Part-time at BuildCorp
Robert Johnson,20,Computer Science,3.05,Sophomore,Coding Club,Tutor at MathCenter
Christopher Martin,25,Business Administration,2.03,Sophomore,Green Club,Member of BioSociety
Robert Jackson,21,Business Administration,3.21,Sophomore,Math Club,Tutor at MathCenter
John Davis,23,Electrical Engineering,2.19,Freshman,BioSociety,Part-time at BuildCorp
John Smith,21,Business Administration,3.75,Senior,Research Assistant,Part-time at MarketPlace
Emily Doe,20,Mathematics,2.05,Freshman,ChemClub,Part-time at AutoWorks
Linda Harris,25,Business Administration,2.64,Freshman,ChemClub,Part-time at BuildCorp
Mary Taylor,24,Chemistry,2.1,Sophomore,Research Assistant,Intern at StartUp
Thomas Anderson,18,Civil Engineering,2.22,Senior,Soccer Club,Tutor at MathCenter
John Taylor,21,Biology,3.89,Senior,Research Assistant,Part-time at AutoWorks
Sarah Thomas,24,Physics,2.39,Freshman,ChemClub,Part-time at AutoWorks
Michael Clark,25,Mathematics,3.05,Sophomore,Math Club,Research Assistant
Jane Wilson,20,Mathematics,2.97,Sophomore,ChemClub,Part-time at AutoWorks
Linda Moore,22,Civil Engineering,2.7,Sophomore,ASCE Member,Part-time at AutoWorks
Thomas White,24,Chemistry,2.88,Senior,ChemClub,Intern at TechCorp
Patricia Wilson,18,Business Administration,3.57,Junior,IEEE Member,Research Assistant
Jessica Smith,20,Environmental Science,3.84,Junior,BioSociety,Member of ChemClub
Mary Doe,21,Economics,2.22,Sophomore,Math Club,Tutor at MathCenter
Barbara Jackson,21,Mechanical Engineering,3.67,Senior,Debate Team,Intern at StartUp
James Harris,21,Business Administration,3.78,Sophomore,Business Club,Business Club President
Robert Johnson,19,Biology,2.22,Sophomore,ASCE Member,Member of ChemClub
Linda Wilson,21,Business Administration,3.58,Junior,Soccer Club,Member of BioSociety
Christopher Harris,18,Economics,3.32,Senior,Debate Team,Tutor at MathCenter
Jessica Harris,25,Environmental Science,3.57,Junior,BioSociety,Part-time at ElectricWorks
Michael Smith,23,Mathematics,3.61,Senior,Research Assistant,Part-time at BuildCorp
Michael Doe,19,Mechanical Engineering,2.75,Sophomore,Math Club,Member of BioSociety
Christopher Moore,18,Chemistry,3.53,Freshman,Soccer Club,Part-time at BuildCorp
Sarah Martin,24,Economics,3.72,Freshman,Green Club,Research Assistant
Mary Smith,19,Mechanical Engineering,3.51,Junior,Math Club,Part-time at ElectricWorks
Jane Brown,21,Electrical Engineering,2.49,Sophomore,Robotics Team,Intern at StartUp
Thomas Harris,23,Mathematics,3.6,Senior,Green Club,Intern at TechCorp
Michael Harris,19,Mathematics,2.66,Sophomore,Research Assistant,Intern at ResearchLab
Christopher Brown,23,Electrical Engineering,3.89,Sophomore,Coding Club,Research Assistant
Christopher Johnson,23,Environmental Science,2.69,Sophomore,Coding Club,Part-time at BuildCorp
Thomas Moore,21,Mathematics,3.88,Freshman,Debate Team,Part-time at AutoWorks
Christopher Smith,20,Computer Science,2.06,Junior,Math Club,Intern at TechCorp
John White,20,Business Administration,3.15,Sophomore,Coding Club,Business Club President
Linda Brown,23,Electrical Engineering,3.86,Sophomore,Coding Club,Intern at StartUp
Michael White,25,Business Administration,2.68,Senior,Research Assistant,Part-time at BuildCorp
Christopher Smith,20,Biology,3.46,Sophomore,BioSociety,Member of ChemClub
Robert Anderson,19,Business Administration,3.1,Sophomore,Green Club,Tutor at MathCenter
Patricia Taylor,25,Mathematics,3.67,Senior,IEEE Member,Part-time at ElectricWorks
Jessica Taylor,21,Electrical Engineering,3.04,Senior,Debate Team,Member of ChemClub
Linda Smith,20,Economics,3.04,Senior,Robotics Team,Part-time at MarketPlace
John Doe,21,Physics,3.41,Junior,Coding Club,Part-time at ElectricWorks
Jessica Doe,24,Computer Science,2.86,Senior,Math Club,Research Assistant
David Davis,23,Biology,2.49,Freshman,ChemClub,Intern at TechCorp
Mary Wilson,22,Environmental Science,3.58,Sophomore,Robotics Team,Member of BioSociety
